pairid,ident1,project1,file1,method1,ident2,project2,file2,method2,sim,sim_tok
10,57080,openjdk11,repos/openjdk11/src/java.xml.crypto/share/classes/com/sun/org/apache/xml/internal/security/c14n/implementations/NameSpaceSymbTable.java,SymbMap.rehash(int),60084,trove,repos/trove/core/src/main/java/gnu/trove/map/hash/THashMap.java,THashMap.rehash(int),1.0,0.524390243902439
11,1059,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/ListUtils.java,"ListUtils.partition(List<T>, int)",19104,guava,repos/guava/guava/src/com/google/common/collect/Lists.java,"Lists.partition(List<T>, int)",0.9273891970096089,0.5116279069767442
12,18510,guava,repos/guava/guava/src/com/google/common/hash/LongAdder.java,LongAdder.sumThenReset(),28650,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/atomic/LongAdder.java,LongAdder.sumThenReset(),0.9999999999999996,0.5125
13,1216,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/map/CompositeMap.java,CompositeMap.values(),28392,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/Hashtable.java,Hashtable.values(),0.8750712270538428,0.30188679245283023
14,1461,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ArrayListIterator.java,ArrayListIterator.reset(),7966,deeplearning4j,repos/deeplearning4j/deeplearning4j/deeplearning4j-data/deeplearning4j-utility-iterators/src/main/java/org/deeplearning4j/datasets/iterator/AsyncDataSetIterator.java,AsyncDataSetIterator.reset(),0.7682496111275505,0.08633093525179858
15,3251,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/math/Fraction.java,"Fraction.getFraction(int, int)",4471,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/fraction/BigFraction.java,"BigFraction.getReducedFraction(int, int)",0.9149382734702465,0.31343283582089554
16,19315,guava,repos/guava/guava/src/com/google/common/cache/LongAdder.java,LongAdder.add(long),28721,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/atomic/DoubleAdder.java,DoubleAdder.add(double),1.0,0.6589147286821706
17,551,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/TreeTableCellRenderer.java,TreeTableCellRenderer.paint(Graphics),48124,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,JTreeTable.TreeTableCellRenderer.paint(Graphics),0.9062392989507069,0.4107142857142857
18,185,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/StripedBuffer.java,StripedBuffer.getProbe(),28706,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/atomic/Striped64.java,Striped64.getProbe(),1.0,0.7777777777777778
19,3799,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/distribution/AbstractRealDistribution.java,AbstractRealDistribution.inverseCumulativeProbability(double),7319,deeplearning4j,repos/deeplearning4j/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/rng/distribution/BaseDistribution.java,BaseDistribution.inverseCumulativeProbability(double),1.0,0.9948320413436692
20,1567,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/ArrayUtils.java,"ArrayUtils.indexOf(Object[], Object, int)",2958,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/ArrayUtils.java,"ArrayUtils.indexOf(Object[], Object, int)",1.0000000000000004,1.0
21,364,caffeine,repos/caffeine/guava/src/test/java/com/google/common/cache/CacheTesting.java,"CacheTesting.toLocalCache(Cache<K, V>)",17519,guava,repos/guava/guava-tests/test/com/google/common/cache/CacheTesting.java,"CacheTesting.toLocalCache(Cache<K, V>)",1.0000000000000002,1.0
22,14886,freemind,repos/freemind/freemind/freemind/modes/mindmapmode/listeners/MindMapNodeMotionListener.java,MindMapNodeMotionListener.mouseDragged(MouseEvent),37418,openjdk11,repos/openjdk11/src/java.desktop/windows/classes/sun/awt/windows/WMouseDragGestureRecognizer.java,WMouseDragGestureRecognizer.mouseDragged(MouseEvent),0.7973527272319137,0.27477477477477474
23,546,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/Main.java,Main.main(String[]),24682,openjdk11,repos/openjdk11/test/jdk/javax/swing/JList/6823603/bug6823603.java,bug6823603.main(String[]),0.7502498879373675,0.18666666666666665
24,15078,freemind,repos/freemind/freemind/freemind/preferences/layout/VariableSizeCardLayout.java,VariableSizeCardLayout.preferredLayoutSize(Container),39970,openjdk11,repos/openjdk11/src/java.desktop/share/classes/java/awt/CardLayout.java,CardLayout.preferredLayoutSize(Container),0.9999999999999998,0.9090909090909091
25,14340,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/JavaElementRequestor.java,JavaElementRequestor.reset(),26358,openjdk11,repos/openjdk11/src/java.base/share/classes/sun/security/provider/MD5.java,MD5.implReset(),0.7110097167820913,0.2727272727272727
26,3798,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/distribution/AbstractRealDistribution.java,"AbstractRealDistribution.probability(double, double)",7318,deeplearning4j,repos/deeplearning4j/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/rng/distribution/BaseDistribution.java,"BaseDistribution.probability(double, double)",1.0000000000000002,1.0
27,365,caffeine,repos/caffeine/guava/src/test/java/com/google/common/cache/CacheTesting.java,"CacheTesting.warmUp(LoadingCache<Integer, Integer>, int, int)",17524,guava,repos/guava/guava-tests/test/com/google/common/cache/CacheTesting.java,"CacheTesting.warmUp(LoadingCache<Integer, Integer>, int, int)",1.0,1.0
28,14801,freemind,repos/freemind/freemind/freemind/swing/DefaultListModel.java,DefaultListModel.addElement(E),45362,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/DefaultListModel.java,DefaultListModel.addElement(E),1.0000000000000002,1.0
29,549,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/TreeTableCellRenderer.java,TreeTableCellRenderer.setRowHeight(int),48122,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,JTreeTable.TreeTableCellRenderer.setRowHeight(int),1.0,0.875
30,146,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Caffeine.java,"Caffeine.removalListener(RemovalListener<?, ?>)",19374,guava,repos/guava/guava/src/com/google/common/cache/CacheBuilder.java,"CacheBuilder.removalListener(RemovalListener<?, ?>)",0.9158429409559178,0.8846153846153846
31,211,caffeine,repos/caffeine/caffeine/src/jmh/java/com/github/benmanes/caffeine/cache/impl/ConcurrentHashMapV7.java,ConcurrentHashMapV7.containsKey(Object),29112,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ConcurrentHashMap.java,ConcurrentHashMap.containsKey(Object),0.9999999999999996,0.0494505494505495
32,17488,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedPriorityBlockingQueue.java,MonitorBasedPriorityBlockingQueue.clear(),29196,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ArrayBlockingQueue.java,ArrayBlockingQueue.clear(),1.0,0.35789473684210527
33,15142,freemind,repos/freemind/pda/Node.java,Node.getNextSibling(),46096,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/tree/DefaultMutableTreeNode.java,DefaultMutableTreeNode.getNextSibling(),0.7138361561537188,0.21212121212121215
34,547,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/ListToTreeSelectionModelWrapper.java,ListToTreeSelectionModelWrapper.resetRowSelection(),48128,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,JTreeTable.ListToTreeSelectionModelWrapper.resetRowSelection(),1.0000000000000002,1.0
35,66,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/stats/CacheStats.java,CacheStats.hitRate(),19307,guava,repos/guava/guava/src/com/google/common/cache/CacheStats.java,CacheStats.hitRate(),0.9410635263348697,1.0
36,12215,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/codegen/ConstantPool.java,ConstantPool.dumpBytes(),54550,openjdk11,repos/openjdk11/src/jdk.internal.le/share/classes/jdk/internal/jline/console/history/MemoryHistory.java,MemoryHistory.current(),0.668403987721001,0.26315789473684215
37,565,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/TreeTable.java,TreeTable.setRowHeight(int),48119,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,JTreeTable.setRowHeight(int),1.0,1.0
38,17561,guava,repos/guava/guava/src/com/google/common/util/concurrent/Monitor.java,Monitor.getWaitQueueLength(Guard),28935,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/locks/ReentrantLock.java,ReentrantLock.getWaitQueueLength(Condition),0.7398718993878474,0.4222222222222223
39,713,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/utils/TokenUtil.java,"TokenUtil.getIntFromField(Field, Object)",31825,openjdk11,repos/openjdk11/src/java.base/share/classes/java/lang/reflect/Field.java,Field.getInt(Object),0.7213813953310375,0.3589743589743589
40,17478,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,MonitorBasedArrayBlockingQueue.contains(Object),30129,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/PriorityQueue.java,PriorityQueue.contains(Object),0.9999999999999998,0.08791208791208793
41,13131,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/Annotation.java,Annotation.getTypeName(),53123,openjdk11,repos/openjdk11/src/java.xml/share/classes/com/sun/org/apache/bcel/internal/classfile/AnnotationEntry.java,AnnotationEntry.getAnnotationType(),0.6288682452476881,0.31666666666666665
42,209,caffeine,repos/caffeine/caffeine/src/jmh/java/com/github/benmanes/caffeine/cache/impl/ConcurrentHashMapV7.java,ConcurrentHashMapV7.size(),1215,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/map/CompositeMap.java,CompositeMap.size(),1.0,0.1637931034482759
43,14803,freemind,repos/freemind/freemind/freemind/swing/DefaultListModel.java,DefaultListModel.removeAllElements(),45364,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/DefaultListModel.java,DefaultListModel.removeAllElements(),0.9044053735716261,1.0
44,71,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/stats/CacheStats.java,CacheStats.minus(CacheStats),19312,guava,repos/guava/guava/src/com/google/common/cache/CacheStats.java,CacheStats.minus(CacheStats),0.7959482082644783,0.8061224489795918
45,14861,freemind,repos/freemind/freemind/freemind/modes/MapAdapter.java,"MapAdapter.fireTreeNodesInserted(Object, Object[], int[], Object[])",43193,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/text/AbstractDocument.java,AbstractDocument.fireChangedUpdate(DocumentEvent),0.6448623470354079,0.3717948717948718
46,17473,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,"MonitorBasedArrayBlockingQueue.offer(E, long, TimeUnit)",29189,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ArrayBlockingQueue.java,"ArrayBlockingQueue.offer(E, long, TimeUnit)",0.9999999999999996,0.4320987654320988
47,1209,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/map/CompositeMap.java,CompositeMap.get(Object),56628,openjdk11,repos/openjdk11/src/java.scripting/share/classes/javax/script/SimpleBindings.java,SimpleBindings.get(Object),0.9999999999999994,0.25
48,14328,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/builder/BuildNotifier.java,BuildNotifier.problemsMessage(),26773,openjdk11,repos/openjdk11/src/java.base/share/classes/sun/security/x509/CertException.java,CertException.getMessage(),0.48402598373890027,0.042654028436018954
49,3283,commons-math,repos/commons-math/src/test/java/org/apache/commons/math4/fitting/leastsquares/StraightLineProblem.java,StraightLineProblem.y(),55650,openjdk11,repos/openjdk11/src/jdk.internal.vm.compiler/share/classes/org.graalvm.compiler.code/src/org/graalvm/compiler/code/CompilationResult.java,CompilationResult.getSourceMappings(),0.5047571151941521,0.265625
50,5171,deeplearning4j,repos/deeplearning4j/datavec/datavec-api/src/main/java/org/datavec/api/transform/ColumnType.java,ColumnType.getWritableType(),18240,guava,repos/guava/guava/src/com/google/common/reflect/Invokable.java,Invokable.getOwnerType(),0.4424136093402979,0.12121212121212122
51,86,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/BoundedLocalCache.java,"BoundedLocalCache.hasExpired(Node<K, V>, long)",19329,guava,repos/guava/guava/src/com/google/common/cache/LocalCache.java,"LocalCache.isExpired(ReferenceEntry<K, V>, long)",0.8116741259721,0.47540983606557374
52,19316,guava,repos/guava/guava/src/com/google/common/cache/LongAdder.java,LongAdder.sum(),28648,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/atomic/LongAdder.java,LongAdder.sum(),0.9999999999999998,0.5735294117647058
53,17477,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,MonitorBasedArrayBlockingQueue.remove(Object),28563,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ConcurrentLinkedQueue.java,ConcurrentLinkedQueue.remove(Object),0.9999999999999998,0.3370165745856354
54,14954,freemind,repos/freemind/freemind/freemind/main/StdFormatter.java,StdFormatter.format(LogRecord),54706,openjdk11,repos/openjdk11/src/java.logging/share/classes/java/util/logging/XMLFormatter.java,XMLFormatter.format(LogRecord),0.46116224232593184,0.13245033112582782
55,215,caffeine,repos/caffeine/caffeine/src/jmh/java/com/github/benmanes/caffeine/cache/impl/ConcurrentHashMapV7.java,"ConcurrentHashMapV7.putAll(Map<?, ?>)",29115,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ConcurrentHashMap.java,"ConcurrentHashMap.putAll(Map<?, ?>)",1.0,0.74
56,1214,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/map/CompositeMap.java,CompositeMap.remove(Object),56629,openjdk11,repos/openjdk11/src/java.scripting/share/classes/javax/script/SimpleBindings.java,SimpleBindings.remove(Object),1.0000000000000004,0.25
57,17480,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,MonitorBasedArrayBlockingQueue.toArray(T[]),28991,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/LinkedTransferQueue.java,LinkedTransferQueue.toArray(T[]),0.9320634650738868,0.14516129032258063
58,188,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/StripedBuffer.java,"StripedBuffer.expandOrRetry(E, boolean)",18514,guava,repos/guava/guava/src/com/google/common/hash/Striped64.java,"Striped64.retryUpdate(long, int[], boolean)",0.7985100584524089,0.6227544910179641
59,17472,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,MonitorBasedArrayBlockingQueue.offer(E),29187,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ArrayBlockingQueue.java,ArrayBlockingQueue.offer(E),1.0000000000000002,0.4915254237288136
60,3268,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/math/Fraction.java,Fraction.divideBy(Fraction),4501,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/fraction/Fraction.java,Fraction.divide(Fraction),0.8404853288204153,0.5714285714285714
61,6751,deeplearning4j,repos/deeplearning4j/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/factory/BaseNDArrayFactory.java,BaseNDArrayFactory.setOrder(char),20671,openjdk11,repos/openjdk11/test/hotspot/jtreg/vmTestbase/vm/compiler/share/Random.java,Random.main(String[]),0.398148385944423,0.21250000000000002
62,14860,freemind,repos/freemind/freemind/freemind/modes/MapAdapter.java,MapAdapter.nodeChangedInternal(TreeNode),46034,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/tree/DefaultTreeModel.java,DefaultTreeModel.nodeStructureChanged(TreeNode),0.7313406627743892,1.0
63,151,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Caffeine.java,"Caffeine.build(CacheLoader<?, V1>)",19375,guava,repos/guava/guava/src/com/google/common/cache/CacheBuilder.java,"CacheBuilder.build(CacheLoader<?, V1>)",0.8793628920403039,0.29032258064516125
64,3247,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/math/NumberUtils.java,"NumberUtils.compare(int, int)",31739,openjdk11,repos/openjdk11/src/java.base/share/classes/java/lang/Integer.java,"Integer.compareUnsigned(int, int)",0.5940054260005906,0.30434782608695654
65,1206,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/map/CompositeMap.java,CompositeMap.containsKey(Object),56627,openjdk11,repos/openjdk11/src/java.scripting/share/classes/javax/script/SimpleBindings.java,SimpleBindings.containsKey(Object),0.9519584383578578,0.26086956521739135
66,8171,deeplearning4j,repos/deeplearning4j/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/NeuralNetConfiguration.java,NeuralNetConfiguration.clone(),53114,openjdk11,repos/openjdk11/src/java.xml/share/classes/com/sun/org/apache/bcel/internal/classfile/ConstantValue.java,ConstantValue.copy(ConstantPool),0.3922803307307987,0.22916666666666663
67,4438,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/optim/linear/SimplexTableau.java,SimplexTableau.getSlackVariableOffset(),57162,openjdk11,repos/openjdk11/src/jdk.internal.jvmstat/share/classes/sun/jvmstat/perfdata/monitor/v2_0/PerfDataBufferPrologue.java,PerfDataBufferPrologue.getEntryOffset(),0.4531886333903966,0.4375
68,564,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/TreeTable.java,TreeTable.updateUI(),48116,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,JTreeTable.updateUI(),0.8908351509858181,0.7446808510638299
69,133,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Caffeine.java,Caffeine.maximumWeight(long),19365,guava,repos/guava/guava/src/com/google/common/cache/CacheBuilder.java,CacheBuilder.maximumWeight(long),0.7735977893871283,1.0
70,13597,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core/dom/org/eclipse/jdt/internal/core/dom/rewrite/TokenScanner.java,TokenScanner.getCurrentEndOffset(),29781,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/regex/Matcher.java,Matcher.end(),0.43182737192813647,0.33333333333333337
71,840,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/api/LocalizedMessage.java,LocalizedMessage.setLocale(Locale),49518,openjdk11,repos/openjdk11/src/java.xml/share/classes/com/sun/org/apache/xerces/internal/parsers/XMLGrammarPreparser.java,XMLGrammarPreparser.setLocale(Locale),0.43436613959012316,0.275
72,70,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/stats/CacheStats.java,CacheStats.averageLoadPenalty(),19311,guava,repos/guava/guava/src/com/google/common/cache/CacheStats.java,CacheStats.averageLoadPenalty(),0.8438726807259838,1.0
73,14737,freemind,repos/freemind/freemind/accessories/plugins/time/JCalendar.java,JCalendar.setForeground(Color),43651,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/text/StyledEditorKit.java,StyledEditorKit.ForegroundAction.actionPerformed(ActionEvent),0.44597702801740324,0.2975206611570248
74,3435,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/util/MathArrays.java,"MathArrays.distance(double[], double[])",9425,deeplearning4j,repos/deeplearning4j/deeplearning4j/deeplearning4j-nearestneighbors-parent/nearestneighbor-core/src/main/java/org/deeplearning4j/clustering/vptree/VPTree.java,"VPTree.distance(INDArray, INDArray)",0.3303774582892422,0.10208816705336432
75,8959,deeplearning4j,repos/deeplearning4j/deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-chinese/src/main/java/org/ansj/library/AmbiguityLibrary.java,"AmbiguityLibrary.insert(String, Value)",57027,openjdk11,repos/openjdk11/src/java.xml.crypto/share/classes/com/sun/org/apache/xml/internal/security/keys/keyresolver/KeyResolverSpi.java,"KeyResolverSpi.engineSetProperty(String, String)",0.48871905627202816,0.6071428571428572
76,19322,guava,repos/guava/guava/src/com/google/common/cache/LocalCache.java,LocalCache.rehash(int),29553,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/WeakHashMap.java,WeakHashMap.hash(Object),0.5144935816258934,0.5254237288135593
77,2158,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java,ExtendedMessageFormat.applyPattern(String),23352,openjdk11,repos/openjdk11/test/jdk/sanity/client/lib/jemmy/src/org/netbeans/jemmy/operators/JSpinnerOperator.java,"JSpinnerOperator.ListSpinnerOperator.scrollToString(String, StringComparator)",0.3398023851335923,0.08333333333333337
78,7581,deeplearning4j,repos/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/linalg/collection/MultiDimensionalMap.java,MultiDimensionalMap.newTreeBackedMap(),54833,openjdk11,repos/openjdk11/src/java.compiler/share/classes/javax/lang/model/util/SimpleElementVisitor6.java,"SimpleElementVisitor6.visitVariable(VariableElement, P)",0.41407675507086267,0.3870967741935484
79,11206,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.core.tests.model/workspace/Compiler/src/org/eclipse/jdt/internal/compiler/lookup/Scope.java,Scope.getDeclarationModifiers(),53601,openjdk11,repos/openjdk11/src/jdk.jfr/share/classes/jdk/jfr/consumer/RecordedClass.java,RecordedClass.getModifiers(),0.3144637743303388,0.05769230769230771
80,15157,freemind,repos/freemind/pda/Node.java,Node.remove(Node),46074,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/tree/DefaultMutableTreeNode.java,DefaultMutableTreeNode.remove(MutableTreeNode),0.6342752584555537,0.42592592592592593
81,64,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/stats/ConcurrentStatsCounter.java,ConcurrentStatsCounter.incrementBy(StatsCounter),19358,guava,repos/guava/guava/src/com/google/common/cache/AbstractCache.java,AbstractCache.SimpleStatsCounter.incrementBy(StatsCounter),0.6710234592387401,0.875
82,9820,eclipse.jdt.core,repos/eclipse.jdt.core/org.eclipse.jdt.apt.core/src/org/eclipse/jdt/apt/core/internal/declaration/ExecutableUtil.java,"ExecutableUtil.getFormalTypeParameters(EclipseDeclarationImpl, BaseProcessorEnv)",27156,openjdk11,repos/openjdk11/src/java.base/share/classes/sun/reflect/generics/repository/GenericDeclRepository.java,GenericDeclRepository.getTypeParameters(),0.33613213933309727,0.0982142857142857
83,7583,deeplearning4j,repos/deeplearning4j/nd4j/nd4j-common/src/main/java/org/nd4j/linalg/collection/MultiDimensionalMap.java,MultiDimensionalMap.Entry.setValue(V),47818,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/debugger/LongHashMap.java,LongHashMap.Entry.setValue(Object),1.0000000000000002,1.0
84,143,caffeine,repos/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Caffeine.java,Caffeine.refreshAfterWrite(Duration),19372,guava,repos/guava/guava/src/com/google/common/cache/CacheBuilder.java,"CacheBuilder.refreshAfterWrite(long, TimeUnit)",0.6441574154700186,0.28888888888888886
85,476,checkstyle,repos/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/AbstractPathTestSupport.java,AbstractPathTestSupport.readFile(String),58849,openjdk11,repos/openjdk11/src/jdk.compiler/share/classes/com/sun/tools/javac/main/JavaCompiler.java,JavaCompiler.parse(JavaFileObject),0.44053865306767925,0.4193548387096774
